"","gemeente_id","gemeente_district_and_neighborhood","gemeente_municipality","gemeente_type_region","gemeente_code","gemeente_change_in_layout","gemeente_number_of_inhabitants","gemeente_n_Sixty_Five_Years_Or_Older","gemeente_WesternTotal","gemeente_Non_Western_Total","gemeente_Morocco","gemeente_Turkey","gemeente_Population_Density","gemeente_Average_Home_Value","gemeente_Average_Income_Per_Income_Recipient","gemeente_Average_Income_Per_Inhabitant","gemeente_40_Lowest_Income_People","gemeente_20_Persons_With_Highest_Income","gemeente_40_Lowest_Income_Households","gemeente_20_House_holds_With_Highest_Income","gemeente_low_income_households","gemeente_House_hold_Under_Or_Around_Social_Minimum","gemeente_code_four_digits"
"478",477,"GM0484","Alphen aan den Rijn","Gemeente","GM0484",".",108915,19619,9597,11326,3169,1074,"861","219","33.7","26.9","35.9","22.5","31.8","24.3","5.3","4.7","0484"
"595",594,"GM1723","Alphen-Chaam","Gemeente","GM1723",".",10058,2147,1160,233,15,5,"108","296","33.2","27.3","37.9","20.8","27.1","30.2","4.2","3.8","1723"
"612",611,"GM0060","Ameland","Gemeente","GM0060",".",3633,817,185,61,7,0,"62","226","27.4","22.5","41.3","13.4","37.7","18.4","4.7","4.5","0060"
"621",620,"GM0307","Amersfoort","Gemeente","GM0307",".",154337,21761,13483,23372,4921,6183,"2459","234","35.4","27.5","34.8","24.8","35.2","24.8","7.3","6.4","0307"
"798",797,"GM0362","Amstelveen","Gemeente","GM0362",".",89294,16962,16919,19747,1372,846,"2167","296","42.7","32.9","33.8","29.8","39.1","26.6","5.9","5.4","0362"
"860",859,"GM0363","Amsterdam","Gemeente","GM0363",".",844947,102535,147614,296073,75758,43168,"5111","290","35.7","28.9","40.3","23.4","52.1","16.7","13.7","13.1","0363"
"1439",1438,"GM0200","Apeldoorn","Gemeente","GM0200",".",160047,32180,12994,13772,875,4248,"471","209","31.6","25.4","39.1","19.6","37.4","19.9","7.1","6.2","0200"
"1551",1550,"GM0003","Appingedam","Gemeente","GM0003",".",11971,2847,879,738,47,264,"503","134","26.8","21.6","45.8","13.3","48.7","11.5","10.2","9.2","0003"
"1559",1558,"GM0202","Arnhem","Gemeente","GM0202",".",155699,22790,17936,30370,3468,8352,"1590","175","30","24","42.7","18.1","51.3","14.3","13.7","11.9","0202"
"1667",1666,"GM0106","Assen","Gemeente","GM0106",".",67551,12693,5375,4783,325,356,"825","165","29.9","23.8","39.8","17.2","40.8","15.5","9","7.4","0106"
"1787",1786,"GM0743","Asten","Gemeente","GM0743",".",16714,3476,1181,564,106,15,"238","267","30.3","24.8","41.1","17.5","34.5","23","5","5","0743"
"1804",1803,"GM0744","Baarle-Nassau","Gemeente","GM0744",".",6657,1761,1539,165,14,11,"87","254","30","25","41.9","17.2","34.6","23.6","5.3","5.3","0744"
"1815",1814,"GM0308","Baarn","Gemeente","GM0308",".",24529,5577,2270,1946,235,459,"754","290","38.5","30.8","35.5","24.8","34.5","25.7","5.8","5.1","0308"
"1842",1841,"GM0489","Barendrecht","Gemeente","GM0489",".",48344,7795,3751,7393,844,1345,"2436","247","38.1","29.2","34.1","29.2","24.6","33.3","3.9","3.7","0489"
"1928",1927,"GM0203","Barneveld","Gemeente","GM0203",".",56376,8975,2255,2417,276,716,"320","269","31.4","23.5","41","20.2","29.5","25.9","4.8","4","0203"
"1986",1985,"GM0005","Bedum","Gemeente","GM0005",".",10479,2163,448,322,9,13,"235","174","28.9","23.1","40","16.8","33.3","17.8","5.1","4.6","0005"
"1996",1995,"GM0888","Beek","Gemeente","GM0888",".",15951,3862,1567,684,187,60,"758","187","31.3","26.4","39.2","19.8","34.6","21.1","5.2","4.8","0888"
"2007",2006,"GM0370","Beemster","Gemeente","GM0370",".",9205,1861,533,329,25,20,"130","304","36.6","29.5","35.2","24.8","27.1","31.9","4.5","4.5","0370"
"2020",2019,"GM0889","Beesel","Gemeente","GM0889",".",13405,2899,1413,699,329,80,"477","186","28.6","23.4","43.1","15.6","36","17.4","4.5","4.5","0889"
"2031",2030,"GM0007","Bellingwedde","Gemeente","GM0007",".",8919,2394,706,267,3,10,"82","163","26.8","22.1","45.3","13.4","39.9","13.6","7.3","6.8","0007"
"2057",2056,"GM1945","Berg en Dal","Gemeente","GM1945",".",34764,8120,3644,1249,47,125,"402","218","30.6","25.4","41.5","17.4","38.5","20.5","6.9","6","1945"
"2112",2111,"GM1724","Bergeijk","Gemeente","GM1724",".",18342,3885,1385,405,11,18,"182","279","31.8","26.2","39.7","19.4","27.9","26.2","4.1","3.8","1724"
