"","gemeente_id","gemeente_district_and_neighborhood","gemeente_municipality","gemeente_type_region","gemeente_code","gemeente_change_in_layout","gemeente_number_of_inhabitants","gemeente_n_Sixty_Five_Years_Or_Older","gemeente_WesternTotal","gemeente_Non_Western_Total","gemeente_Morocco","gemeente_Turkey","gemeente_Population_Density","gemeente_Average_Home_Value","gemeente_Average_Income_Per_Income_Recipient","gemeente_Average_Income_Per_Inhabitant","gemeente_40_Lowest_Income_People","gemeente_20_Persons_With_Highest_Income","gemeente_40_Lowest_Income_Households","gemeente_20_House_holds_With_Highest_Income","gemeente_low_income_households","gemeente_House_hold_Under_Or_Around_Social_Minimum","gemeente_code_four_digits"
"2589",2588,"GM0377","Bloemendaal","Gemeente","GM0377",".",22826,5963,3050,1125,39,69,"575","588","60.7","46.6","33.2","36.4","25","43.6","5.1","4.6","0377"
"2617",2616,"GM1901","Bodegraven-Reeuwijk","Gemeente","GM1901",".",33733,6523,2040,2115,867,59,"446","271","35.8","28.2","37.6","24.2","27.8","29.7","4.2","4.1","1901"
"2664",2663,"GM0755","Boekel","Gemeente","GM0755",".",10414,1856,588,224,17,2,"302","254","29.3","23.6","40.7","17.1","27.6","26.7","4.2","4.1","0755"
"2675",2674,"GM0009","Ten Boer","Gemeente","GM0009",".",7288,1425,304,203,1,10,"161","169","29.6","23.1","38.6","18.3","30.1","19.6","5","4.5","0009"
"2690",2689,"GM1681","Borger-Odoorn","Gemeente","GM1681",".",25355,5948,1004,444,7,11,"92","175","28.5","23.4","42.6","15.4","35.5","17.5","6.1","5.5","1681"
"2751",2750,"GM0147","Borne","Gemeente","GM0147",".",22795,4688,1485,1083,5,328,"877","209","31.4","25","38.7","20.1","32.2","23.1","5","4.5","0147"
"2769",2768,"GM0654","Borsele","Gemeente","GM0654",".",22688,4344,1372,583,22,34,"160","209","30.8","24.5","40","20","31.1","22.1","4.5","4.2","0654"
"2816",2815,"GM0756","Boxmeer","Gemeente","GM0756",".",28709,6072,2035,1493,134,222,"258","240","30.4","25.2","39.9","18.1","31.9","23.4","4.6","4.4","0756"
"2858",2857,"GM0757","Boxtel","Gemeente","GM0757",".",30656,6359,2257,2467,518,332,"481","237","31.2","25.3","39.2","18.9","36.2","21","5.5","4.8","0757"
"2879",2878,"GM0758","Breda","Gemeente","GM0758",".",182304,32178,20354,21734,5587,3035,"1447","235","33.9","27.3","39.3","22.2","42","20.8","8.2","7.4","0758"
"2947",2946,"GM0501","Brielle","Gemeente","GM0501",".",16833,3641,1448,794,19,72,"611",".","37.1","30.2","34.1","28.8","28.5","27.1","4.3","4","0501"
"2967",2966,"GM1876","Bronckhorst","Gemeente","GM1876",".",36410,8848,1453,681,15,82,"128","244","30.4","25","40.9","17.6","31.2","23.4","4.4","4.4","1876"
"3018",3017,"GM0213","Brummen","Gemeente","GM0213",".",20843,4992,1257,1171,39,632,"248","236","30.6","25.3","40.7","18.6","33.1","21.4","5.6","5","0213"
"3064",3063,"GM0899","Brunssum","Gemeente","GM0899",".",28358,6607,5383,1461,424,63,"1648","136","27.1","22.5","41.9","13","44.9","11.6","8.2","7.7","0899"
"3115",3114,"GM0312","Bunnik","Gemeente","GM0312",".",15156,3252,1156,741,82,16,"410","294","38.9","30.7","31.7","29.9","24.3","34.4","3.8","2.9","0312"
"3127",3126,"GM0313","Bunschoten","Gemeente","GM0313",".",21020,3289,1146,999,41,407,"690","262","31.2","24.1","38.9","19.3","26.5","26.9","3.8","3.4","0313"
"3139",3138,"GM0214","Buren","Gemeente","GM0214",".",26348,4943,1457,619,48,22,"197","278","33.6","26.7","38.5","22.7","27.8","27.9","4.3","3.9","0214"
"3186",3185,"GM0502","Capelle aan den IJssel","Gemeente","GM0502",".",66421,12561,7390,15173,973,1063,"4671","178","32.4","25.7","38.6","21.4","40.1","19","8.6","8.3","0502"
"3275",3274,"GM0383","Castricum","Gemeente","GM0383",".",35216,8455,2460,1437,35,81,"711","267","36.5","30","35.6","25.4","26.7","29.3","3.8","3.2","0383"
"3303",3302,"GM0109","Coevorden","Gemeente","GM0109",".",35286,8019,1825,1210,18,148,"119","188","29.2","23.6","43.2","15.9","37.3","17.8","7.3","6.6","0109"
"3381",3380,"GM1706","Cranendonck","Gemeente","GM1706",".",20676,4627,2392,897,62,25,"271","238","31","25.5","39.9","18.8","30.4","23","4.3","4.2","1706"
"3408",3407,"GM0611","Cromstrijen","Gemeente","GM0611",".",12797,2882,567,360,7,10,"235","232","35.9","29","35.9","25.1","27.5","28.3","3.2","3.2","0611"
"3420",3419,"GM1684","Cuijk","Gemeente","GM1684",".",24696,4999,2376,2367,498,916,"483","205","29.3","24","41.4","17","35.3","20","6","5.3","1684"
"3448",3447,"GM0216","Culemborg","Gemeente","GM0216",".",27864,4784,2471,3800,2005,396,"951","216","33.2","26.1","38","22.5","33.9","23.5","6.3","5.3","0216"
"3458",3457,"GM0148","Dalfsen","Gemeente","GM0148",".",28070,5629,891,541,9,9,"170","262","30.7","24.5","39.6","17.6","27.7","24.9","3.8","3.4","0148"
"3498",3497,"GM1891","Dantumadiel","Gemeente","GM1891",".",18942,3947,382,360,5,7,"223","170","25.6","20","46.9","11.7","40.5","15.1","7","7","1891"
"3520",3519,"GM0503","Delft","Gemeente","GM0503",".",101381,15571,14330,19907,1525,2522,"4437","184","29.9","24.6","44.2","19.5","56.4","14.4","10.2","9.1","0503"
"3624",3623,"GM0010","Delfzijl","Gemeente","GM0010",".",24965,5983,1952,2482,26,582,"188","121","27.1","22","45","14.2","44.3","12.5","9.4","8.8","0010"
"3654",3653,"GM0762","Deurne","Gemeente","GM0762",".",31933,6484,1768,1082,167,48,"273","245","29.7","24.3","40.8","17.6","33.6","22","5.3","4.9","0762"
"3677",3676,"GM0150","Deventer","Gemeente","GM0150",".",99295,17111,8840,12489,370,6637,"757","187","30","23.9","40.1","17.9","41.7","17.2","9.1","7.7","0150"
"3761",3760,"GM0384","Diemen","Gemeente","GM0384",".",27272,4288,3962,7676,915,793,"2274","210","32.2","26.1","40","22.4","46.2","20.3","7.9","7.5","0384"
"3790",3789,"GM1774","Dinkelland","Gemeente","GM1774",".",26244,5385,1543,565,2,80,"149","246","29.8","24.3","40.2","16.8","28.3","27.9","3.8","4","1774"
"3848",3847,"GM0221","Doesburg","Gemeente","GM0221",".",11341,2579,1077,1177,15,722,"982","185","28.2","23.2","44.6","15.4","42.5","15.1","8.9","8.3","0221"
"3861",3860,"GM0222","Doetinchem","Gemeente","GM0222",".",57068,11362,4165,3772,132,1573,"722","189","29.4","23.7","41.4","16.7","38.8","17.9","8","6.8","0222"
"3957",3956,"GM0766","Dongen","Gemeente","GM0766",".",25509,5156,1704,1571,46,797,"871","224","31.2","25.5","38.8","19.7","32.1","22.2","4.5","4.2","0766"
"3977",3976,"GM0058","Dongeradeel","Gemeente","GM0058",".",23901,4966,784,595,14,4,"144","146","25.9","20.3","45","11.7","42.4","13.6","7.9","7.3","0058"
"4045",4044,"GM0505","Dordrecht","Gemeente","GM0505",".",118731,21644,13361,21758,2828,6646,"1510","162","31","24.7","40.3","19.4","42.7","17.5","9.4","8.7","0505"
"4188",4187,"GM0498","Drechterland","Gemeente","GM0498",".",19384,3881,1309,612,36,23,"329","229","31.2","25.4","39.1","18.8","29.4","25.5","3.9","3.8","0498"
"4212",4211,"GM1719","Drimmelen","Gemeente","GM1719",".",26869,5665,1607,672,38,43,"281","235","32.6","26.7","38.1","21.7","29","25.9","3.6","3.1","1719"
"4237",4236,"GM0303","Dronten","Gemeente","GM0303",".",40746,6881,3054,3405,442,566,"122","198","30.1","24","40.5","19.1","35.4","20.3","6.3","5.3","0303"
"4287",4286,"GM0225","Druten","Gemeente","GM0225",".",18563,3348,1064,1094,40,531,"492","219","30.9","24.9","39.4","19.3","32.6","23.4","5.5","4.8","0225"
"4310",4309,"GM0226","Duiven","Gemeente","GM0226",".",25398,4345,2088,1395,53,237,"749","202","31.1","25.2","39.2","19.9","31.4","22.8","5.4","5","0226"
"4331",4330,"GM1711","Echt-Susteren","Gemeente","GM1711",".",31815,7549,4289,1143,107,51,"309","192","30.3","25.3","39.8","17.7","35.3","19.7","5.3","4.8","1711"
"4400",4399,"GM0385","Edam-Volendam","Gemeente","GM0385",".",35800,6992,1591,1571,391,48,"659","242","33.6","27","39.1","22.7","26.6","30.5","3.4","3.4","0385"
"4438",4437,"GM0228","Ede","Gemeente","GM0228",".",113421,19905,7962,9386,2495,2086,"356","234","31.5","24.6","39.5","20","34.6","21.9","6","5","0228"
"4527",4526,"GM0317","Eemnes","Gemeente","GM0317",".",8999,1761,693,468,27,25,"290","290","36","28.7","35.2","24.6","25.7","29.2","4.1","4.1","0317"
"4539",4538,"GM1651","Eemsmond","Gemeente","GM1651",".",15656,3465,642,477,5,26,"83","144","25.9","20.7","46.5","12.3","46.1","12.2","9.1","8.3","1651"
"4572",4571,"GM0770","Eersel","Gemeente","GM0770",".",18554,3942,1116,489,3,15,"225","286","34.3","28.1","37.3","22.2","27.7","28.5","4.1","3.6","0770"
"4602",4601,"GM1903","Eijsden-Margraten","Gemeente","GM1903",".",25297,5981,2640,595,47,22,"327","232","33","27.5","37.6","21.6","26.8","27.3","3.6","3.2","1903"
"4643",4642,"GM0772","Eindhoven","Gemeente","GM0772",".",226868,37770,31850,44128,6091,10356,"2587","211","32.7","26.7","40.6","20.1","48.4","16","9.6","8.5","0772"
"4767",4766,"GM0230","Elburg","Gemeente","GM0230",".",23026,4323,804,577,12,31,"361","227","28.7","22.2","42","16.8","31","20.3","4.6","4.1","0230"
"4788",4787,"GM0114","Emmen","Gemeente","GM0114",".",107490,23141,7547,5114,382,855,"321","147","26.9","21.8","45.6","13.4","43.2","13.4","8.8","7.9","0114"
"4899",4898,"GM0388","Enkhuizen","Gemeente","GM0388",".",18479,3724,1615,1268,128,353,"1457","180","29.7","24.2","40.3","16.4","40.1","17.1","6.5","5.6","0388"
"4910",4909,"GM0153","Enschede","Gemeente","GM0153",".",158140,27211,19659,25558,2047,8738,"1122","158","26.6","21.4","47.9","13.9","52.4","12.1","12.7","11.1","0153"
"4991",4990,"GM0232","Epe","Gemeente","GM0232",".",32537,7871,2060,1719,66,862,"208","262","30.6","24.9","42.2","17","35.1","20.9","6","5.1","0232"
"5020",5019,"GM0233","Ermelo","Gemeente","GM0233",".",26590,6001,1558,1178,126,172,"311","270","32.3","26.2","38.1","19.6","32.8","23.5","5.6","4.4","0233"
"5039",5038,"GM0777","Etten-Leur","Gemeente","GM0777",".",43027,8308,3952,3880,845,905,"778","231","32","25.6","37.8","19.9","32.9","21.6","5.5","5.1","0777"
"5096",5095,"GM1722","Ferwerderadiel","Gemeente","GM1722",".",8735,1708,330,243,12,2,"89","150","26.9","20.7","42.6","11.5","38.2","15","7","6.5","1722"
"5118",5117,"GM0070","Franekeradeel","Gemeente","GM0070",".",20215,4295,1197,617,57,25,"197","142","26.7","21.6","44.5","13.7","41.2","14.3","8.3","7.5","0070"
"5166",5165,"GM1940","De Fryske Marren","Gemeente","GM1940",".",51585,11146,2336,1666,58,120,"147","198","29.2","23.3","42.5","16.4","35.3","19.3","6.3","6.2","1940"
"5288",5287,"GM0779","Geertruidenberg","Gemeente","GM0779",".",21504,4246,1306,741,41,81,"807","206","31.7","25.6","37.7","20.1","33.3","21.3","4.7","4.4","0779"
"5303",5302,"GM0236","Geldermalsen","Gemeente","GM0236",".",26587,4953,1357,1052,328,23,"266","271","34.4","26.9","37.8","23.9","27.5","29.1","4.3","3.9","0236"
"5342",5341,"GM1771","Geldrop-Mierlo","Gemeente","GM1771",".",39078,8237,3576,2979,253,555,"1260","230","32","25.9","39","20.2","34.4","21.2","6.1","5.6","1771"
"5356",5355,"GM1652","Gemert-Bakel","Gemeente","GM1652",".",30024,5441,2132,880,57,57,"246","240","30","24.2","39.8","17.1","34.1","22.2","5.4","5","1652"
"5388",5387,"GM0907","Gennep","Gemeente","GM0907",".",17129,3742,1681,714,202,74,"359","215","29.2","23.8","39.9","16.5","34.3","19.1","5.4","5.5","0907"
"5410",5409,"GM0689","Giessenlanden","Gemeente","GM0689",".",14596,2842,627,359,43,17,"230","277","34.7","27.2","39","23.4","26","28.8","3.5","3.6","0689"
"5444",5443,"GM0784","Gilze en Rijen","Gemeente","GM0784",".",26220,5223,2052,2242,143,934,"400","232","30.7","25","39.6","18.9","33.4","22.8","5.5","4.9","0784"
"5459",5458,"GM1924","Goeree-Overflakkee","Gemeente","GM1924",".",48653,10115,1822,1058,33,48,"186","213","32.8","26","39.6","22.6","33.1","23.4","4.4","4.2","1924"
"5532",5531,"GM0664","Goes","Gemeente","GM0664",".",37274,8479,3046,2731,279,201,"403","202","31","25.7","39.4","18.8","39","18.6","7","6","0664"
"5571",5570,"GM0785","Goirle","Gemeente","GM0785",".",23317,5011,1556,1031,101,218,"554","253","33","26.6","37.5","22","29.9","25.2","4.8","4.3","0785"
"5621",5620,"GM1942","Gooise Meren","Gemeente","GM1942",".",56935,11973,6897,4692,1164,344,"1368","347","47.6","36.4","33.7","31","32.8","32","6.2","5.8","1942"
"5684",5683,"GM0512","Gorinchem","Gemeente","GM0512",".",35755,6369,3451,5636,1767,1731,"1894","196","32.1","25.5","39.5","20","41.4","19.3","7.9","7.3","0512"
"5734",5733,"GM0513","Gouda","Gemeente","GM0513",".",71752,13024,6219,11540,6922,461,"4266","179","32.3","25.6","38.9","21.5","39.8","19.8","8","7.1","0513"
"5791",5790,"GM0786","Grave","Gemeente","GM0786",".",12370,2559,1005,617,31,25,"455","202","30.5","25","38.5","18.7","32.2","20.4","4.8","4.6","0786"
"5813",5812,"GM0518","'s-Gravenhage","Gemeente","GM0518",".",524882,74675,91739,184926,30869,39520,"6347","197","33.4","25.8","41.3","20.8","48.5","17","13.3","12.2","0518"
"5972",5971,"GM0014","Groningen","Gemeente","GM0014",".",202636,25053,24320,23949,1215,1496,"2125","157","26.9","22.4","49","15.5","63.2","10.1","15.1","12.8","0014"
"6096",6095,"GM0015","Grootegast","Gemeente","GM0015",".",12166,2124,296,165,5,1,"140","194","27.3","21.1","42.4","13.9","33.4","18.3","5.2","4.9","0015"
"6117",6116,"GM1729","Gulpen-Wittem","Gemeente","GM1729",".",14337,3781,1661,295,22,2,"196","205","30.3","25.8","40.3","17.8","34.9","20.4","5.4","5","1729"
"6154",6153,"GM0158","Haaksbergen","Gemeente","GM0158",".",24272,5443,1610,1304,76,636,"232","212","29.5","24.1","41.3","16.6","32.9","22.5","5.2","4.9","0158"
"6192",6191,"GM0788","Haaren","Gemeente","GM0788",".",13912,3081,664,310,19,13,"241","312","34.1","28.5","38.2","22.1","26.8","31.3","3.8","3.6","0788"
"6212",6211,"GM0392","Haarlem","Gemeente","GM0392",".",159229,26818,20434,24338,5189,6496,"5459","250","35.5","28.4","34.8","24","40.7","21.5","7.8","7","0392"
"6345",6344,"GM0393","Haarlemmerliede en Spaarnwoude","Gemeente","GM0393",".",5665,999,477,366,27,24,"295","283","36.4","29.7","34.8","25.4","27.2","31.2","4.7","4.1","0393"
"6353",6352,"GM0394","Haarlemmermeer","Gemeente","GM0394",".",146003,23246,16214,21241,3367,2194,"819","256","36.1","28.5","34.2","25.4","28.8","28.8","4.8","4.4","0394"
"6457",6456,"GM1655","Halderberge","Gemeente","GM1655",".",29579,6634,2089,2231,852,274,"397","229","31.2","25.4","40.4","19.4","34.2","21.6","5.5","5.1","1655"
"6483",6482,"GM0160","Hardenberg","Gemeente","GM0160",".",60211,10631,2251,1567,47,98,"193","207","27.7","21.9","42.5","14.5","33.3","19.6","5.7","4.8","0160"
"6583",6582,"GM0243","Harderwijk","Gemeente","GM0243",".",46352,8000,3061,5187,1199,2137,"1193","231","30.7","24.1","39","18.6","35.3","20","7.1","5.8","0243"
"6663",6662,"GM0523","Hardinxveld-Giessendam","Gemeente","GM0523",".",17872,3229,596,565,78,32,"1056","223","30.7","23.3","40.7","20.4","31.7","23.6","4","3.8","0523"
"6669",6668,"GM0017","Haren","Gemeente","GM0017",".",19570,5149,1543,978,22,38,"431","275","40.3","31.7","34.1","29.5","31.1","30.5","6","5","0017"
"6686",6685,"GM0072","Harlingen","Gemeente","GM0072",".",15860,3690,1216,681,99,50,"635","151","27","21.7","46.5","13.8","47.1","12.6","9.4","9.8","0072"
"6702",6701,"GM0244","Hattem","Gemeente","GM0244",".",12040,2604,540,374,19,30,"522","253","33.1","25.9","38.9","20.5","31.5","22.9","4","3.3","0244"
"6715",6714,"GM0396","Heemskerk","Gemeente","GM0396",".",39171,8288,3610,4004,323,1055,"1439","218","32.1","26.2","36.5","21","34.3","21.9","5.8","5.3","0396"
"6765",6764,"GM0397","Heemstede","Gemeente","GM0397",".",26936,7109,3402,1663,145,125,"2934","404","49.6","38.9","32.2","33.9","28.7","36.6","4.4","4.1","0397"
"6783",6782,"GM0246","Heerde","Gemeente","GM0246",".",18561,4144,598,485,1,64,"236","253","30.4","24.3","40.6","18.4","29.2","21.7","3.6","2.8","0246"
"6801",6800,"GM0074","Heerenveen","Gemeente","GM0074",".",50203,10396,2762,2951,325,530,"264","187","29.7","23.8","41.8","16.7","40.2","17.7","7.9","7","0074"
"6840",6839,"GM0398","Heerhugowaard","Gemeente","GM0398",".",54950,9282,4794,6466,740,1178,"1435","201","31.1","24.5","37.3","19.9","30.4","21","5.8","4.5","0398"
"6901",6900,"GM0917","Heerlen","Gemeente","GM0917",".",87189,19152,16287,8230,2352,611,"1939","125","27","22.6","44.3","12.6","53.7","9.7","12.4","10.4","0917"
"6982",6981,"GM1658","Heeze-Leende","Gemeente","GM1658",".",15714,3598,1126,419,26,25,"151","312","35.7","29.2","37.1","24.3","25.2","30.4","3.6","3.2","1658"
"6999",6998,"GM0399","Heiloo","Gemeente","GM0399",".",22857,5989,1791,1024,38,23,"1222","292","36.8","30.1","36.5","26.2","29.1","29.2","4.7","3.4","0399"
"7028",7027,"GM0400","Den Helder","Gemeente","GM0400",".",56020,11913,5434,5494,165,246,"1242","143","28.6","23.5","40.2","16.1","44.3","13","8.9","7.8","0400"
"7102",7101,"GM0163","Hellendoorn","Gemeente","GM0163",".",35772,7388,1455,917,12,165,"259","224","29.1","23.2","41","15.7","31.4","20.5","4.3","4","0163"
"7151",7150,"GM0530","Hellevoetsluis","Gemeente","GM0530",".",38722,7587,3554,3430,127,870,"1230","193","34.2","27.5","37.6","25.4","32.4","22.9","6.2","5.6","0530"
"7198",7197,"GM0794","Helmond","Gemeente","GM0794",".",90603,14883,11653,11395,3859,2415,"1703","198","29.9","23.5","41.9","17","41.7","17.5","9.1","8.4","0794"
"7255",7254,"GM0531","Hendrik-Ido-Ambacht","Gemeente","GM0531",".",29731,4925,1861,2218,298,295,"2801","221","35.3","26.9","35.4","25.7","27","28.5","4","3.5","0531"
"7273",7272,"GM0164","Hengelo","Gemeente","GM0164",".",80802,15503,7782,10323,244,4664,"1327","168","29.3","23.7","41.6","16.9","42.4","16","8.8","7.5","0164"
"7346",7345,"GM0796","'s-Hertogenbosch","Gemeente","GM0796",".",152410,26071,13417,16914,4828,2797,"1379","238","33.9","27.4","37.7","22.7","39.6","21.8","8.3","7.4","0796"
"7468",7467,"GM0252","Heumen","Gemeente","GM0252",".",16475,3697,1503,692,31,33,"414","261","35.7","29.1","36.6","24.4","28.5","29.4","5.1","4.6","0252"
"7490",7489,"GM0797","Heusden","Gemeente","GM0797",".",43517,8515,3061,2692,342,1066,"552","258","32.2","26","40","20.3","31.6","24.3","5","4.8","0797"
"7519",7518,"GM0534","Hillegom","Gemeente","GM0534",".",21316,4382,2308,1322,249,96,"1656","229","33","26.8","35.9","20.3","33.1","22","4.5","4.2","0534"
"7546",7545,"GM0798","Hilvarenbeek","Gemeente","GM0798",".",15283,3221,820,336,14,13,"161","290","33.3","27.4","37.7","21.7","27.2","29.6","3.7","3.4","0798"
"7563",7562,"GM0402","Hilversum","Gemeente","GM0402",".",88888,16841,11677,11733,2707,2428,"1949","264","37.6","29.7","35.9","23.9","40.5","22.3","8","7.2","0402"
"7616",7615,"GM1735","Hof van Twente","Gemeente","GM1735",".",35011,8450,1947,1139,20,340,"165","225","30.3","24.9","41.3","17.6","32.7","23.2","4.6","4.7","1735"
"7675",7674,"GM1911","Hollands Kroon","Gemeente","GM1911",".",47600,9382,3196,1404,53,51,"133","201","29.8","24.3","41.1","18","33","21.5","5.1","4.5","1911"
"7732",7731,"GM0118","Hoogeveen","Gemeente","GM0118",".",55311,11363,3062,2660,86,298,"434","163","26.9","21.3","44","13.2","40.3","13.9","7.3","6.3","0118"
"7794",7793,"GM0018","Hoogezand-Sappemeer","Gemeente","GM0018",".",34232,7465,2525,4070,260,1066,"515","134","26.2","21","46.6","12.8","47.8","11.5","10.5","9.5","0018"
"7851",7850,"GM0405","Hoorn","Gemeente","GM0405",".",72493,13025,6424,10183,1367,1621,"3560","183","31","24.8","38.6","18.6","38.3","18.5","7.7","6.5","0405"
"7940",7939,"GM1507","Horst aan de Maas","Gemeente","GM1507",".",42139,8403,3488,1122,52,58,"223","235","29.5","24.8","40.7","16.9","31.2","22.7","3.6","3.6","1507"
"8006",8005,"GM0321","Houten","Gemeente","GM0321",".",49300,6419,3579,3737,536,219,"895","278","38.8","29.8","31.7","29.7","25.3","34.5","4.2","3.6","0321"
"8079",8078,"GM0406","Huizen","Gemeente","GM0406",".",41382,8866,4098,4218,1380,644,"2618","268","36.1","29","36.9","23.2","34.1","25.2","6.5","6.2","0406"
"8123",8122,"GM0677","Hulst","Gemeente","GM0677",".",27395,6500,6603,772,63,60,"136","187","31.6","25.9","40","19.4","36.6","20","5","5","0677"
"8176",8175,"GM0353","IJsselstein","Gemeente","GM0353",".",34208,5461,2459,4286,1415,379,"1621","235","35.2","27.6","34.4","24.3","30","28.1","4.8","4.2","0353"
"8208",8207,"GM1884","Kaag en Braassem","Gemeente","GM1884",".",26374,5191,1614,1088,142,48,"417","264","34.1","27.7","36.4","22.8","29.3","28.8","4.2","3.7","1884"
"8241",8240,"GM0166","Kampen","Gemeente","GM0166",".",52511,8604,2098,2730,38,963,"369","195","28.1","21.8","42.9","16.1","36.9","18","6","5.1","0166"
"8285",8284,"GM0678","Kapelle","Gemeente","GM0678",".",12622,2419,728,408,17,8,"340","225","32","25.2","38.8","21.9","27.3","25.3","4","3.6","0678"
"8295",8294,"GM0537","Katwijk","Gemeente","GM0537",".",64532,10917,3643,3442,459,332,"2622","248","31.3","24.4","39.7","20.1","31.5","23.5","4.8","4.5","0537"
"8335",8334,"GM0928","Kerkrade","Gemeente","GM0928",".",45937,11053,11786,2649,453,289,"2097","129","26.3","21.9","43.4","11.6","50.4","10.1","11.1","9.7","0928"
"8357",8356,"GM1598","Koggenland","Gemeente","GM1598",".",22522,4293,1120,710,31,34,"280","234","31.1","25.4","39","19.5","28","27.1","4","3.9","1598"
"8384",8383,"GM0079","Kollumerland en Nieuwkruisland","Gemeente","GM0079",".",12872,2417,297,290,6,2,"117","169","26.2","20.3","44.4","12.7","38.7","15.2","7.2","6.7","0079"
"8409",8408,"GM0588","Korendijk","Gemeente","GM0588",".",10959,2227,454,226,16,0,"144","225","34.2","26.9","37.2","23.9","26.1","27.1","3.5","3.2","0588"
"8432",8431,"GM0542","Krimpen aan den IJssel","Gemeente","GM0542",".",29123,6787,2110,2201,226,166,"3792","218","32.9","25.8","39.5","22.1","33.8","22.8","5.3","5.3","0542"
"8440",8439,"GM1931","Krimpenerwaard","Gemeente","GM1931",".",55204,11146,2917,2944,1125,67,"369","236","32.9","26","38.9","21.7","32.7","24.7","4.8","4.5","1931"
"8521",8520,"GM1659","Laarbeek","Gemeente","GM1659",".",21942,4641,1268,508,22,29,"396","245","30.8","24.9","40.3","18.4","31","23.3","4.5","4.4","1659"
"8541",8540,"GM1685","Landerd","Gemeente","GM1685",".",15332,3113,695,416,16,16,"218","277","30.5","24.9","41.3","18.8","29.2","28.3","4.8","4.1","1685"
"8559",8558,"GM0882","Landgraaf","Gemeente","GM0882",".",37458,8777,7188,1486,153,144,"1524","154","28.3","23.6","40.1","14.8","41.6","14.2","7.9","7.1","0882"
"8590",8589,"GM0415","Landsmeer","Gemeente","GM0415",".",11275,2274,990,856,97,53,"501","315","38.5","30.7","34.1","27.6","27.6","32.9","4.6","4.1","0415"
"8600",8599,"GM0416","Langedijk","Gemeente","GM0416",".",27608,5210,1640,1335,272,64,"1155","244","32.5","26","38.4","20.4","28.1","25.9","4.4","3.9","0416"
"8609",8608,"GM1621","Lansingerland","Gemeente","GM1621",".",60105,8669,4360,5920,1105,520,"1109","273","40.6","30.3","32.9","31","22.3","37.1","4.1","3.9","1621"
"8687",8686,"GM0417","Laren","Gemeente","GM0417",".",11088,3416,1535,567,32,31,"893","559","56.3","43.8","35.4","33.8","28.1","38.9","6.3","6.1","0417"
"8699",8698,"GM0022","Leek","Gemeente","GM0022",".",19643,4178,1045,687,20,61,"311","188","29.6","23.5","42","16.9","36.1","18.5","5.7","5.4","0022"
"8732",8731,"GM0545","Leerdam","Gemeente","GM0545",".",20905,4055,1670,3022,366,1817,"619","209","29.7","23.3","41.5","18.1","37.6","19.8","6.6","5.8","0545"
"8741",8740,"GM0080","Leeuwarden","Gemeente","GM0080",".",108667,18665,8419,10400,1038,510,"704","137","27.5","22.4","45.2","14.8","52.7","11.8","12.7","10.3","0080"
"8882",8881,"GM0081","Leeuwarderadeel","Gemeente","GM0081",".",10108,2234,428,373,20,15,"247","170","28.6","23.1","40.8","16.5","31.5","18.5","5","4.5","0081"
"8898",8897,"GM0546","Leiden","Gemeente","GM0546",".",123661,17773,17449,19892,5295,2241,"5630","218","32.6","26.6","41.3","22.6","52","17.2","9.5","8.2","0546"
"8963",8962,"GM0547","Leiderdorp","Gemeente","GM0547",".",27128,5878,2820,3026,364,625,"2349","244","36.1","29","34.4","25.8","32.1","26","4.8","4.5","0547"
"8983",8982,"GM1916","Leidschendam-Voorburg","Gemeente","GM1916",".",74604,16809,10602,11745,1247,734,"2286","237","38.7","30.8","34","27.6","37.3","24.1","7.2","6.8","1916"
"9025",9024,"GM0995","Lelystad","Gemeente","GM0995",".",76937,12491,7606,15566,2374,1946,"334","163","29.6","23.1","41.1","17.9","39.3","17","9.7","8.4","0995"
"9208",9207,"GM1640","Leudal","Gemeente","GM1640",".",35878,8128,3271,1059,68,50,"220","214","30.5","25.5","39.2","18.1","30.3","22.5","4.4","4.1","1640"
"9257",9256,"GM0327","Leusden","Gemeente","GM0327",".",29677,5937,2329,1595,176,94,"506","275","36.8","29.4","32.9","26.1","26.1","29.4","4.2","3.7","0327"
"9292",9291,"GM0733","Lingewaal","Gemeente","GM0733",".",11158,2085,549,433,107,30,"221","255","32.8","25.9","38.8","21.5","28.6","26.5","4.1","3.7","0733"
"9309",9308,"GM1705","Lingewaard","Gemeente","GM1705",".",46182,9079,3079,1481,81,156,"742","229","31.8","25.4","38.7","20.2","30.9","23.2","4.5","4.2","1705"
"9339",9338,"GM0553","Lisse","Gemeente","GM0553",".",22717,4852,1925,1036,81,46,"1448","247","33.1","27","36.9","20.7","34.1","23.3","4.4","4","0553"
"9382",9381,"GM0140","Littenseradiel","Gemeente","GM0140",".",10746,2005,366,192,8,4,"82","187","29.7","23.3","38.7","17.1","32.3","22.9","5.3","4.8","0140"
"9429",9428,"GM0262","Lochem","Gemeente","GM0262",".",33545,8944,2012,1500,313,357,"157","271","33.8","27.7","39.3","20.7","31.4","24.8","5.5","5.3","0262"
"9472",9471,"GM0809","Loon op Zand","Gemeente","GM0809",".",23093,4915,1505,891,24,234,"462","243","31.3","25.6","40.1","18.9","33","22.5","4.8","4.8","0809"
"9509",9508,"GM0331","Lopik","Gemeente","GM0331",".",14208,2269,578,623,191,23,"188","270","32.5","25.5","38.3","20.6","26.6","29.8","4.4","4","0331"
