"","wijk_id","wijk_district_and_neighborhood","wijk_municipality","wijk_type_region","wijk_code","wijk_change_in_layout","wijk_number_of_inhabitants","wijk_n_Sixty_Five_Years_Or_Older","wijk_WesternTotal","wijk_Non_Western_Total","wijk_Morocco","wijk_Turkey","wijk_Population_Density","wijk_Average_Home_Value","wijk_Average_Income_Per_Income_Recipient","wijk_Average_Income_Per_Inhabitant","wijk_40_Lowest_Income_People","wijk_20_Persons_With_Highest_Income","wijk_40_Lowest_Income_Households","wijk_20_House_holds_With_Highest_Income","wijk_low_income_households","wijk_House_hold_Under_Or_Around_Social_Minimum","wijk_code_six_digits"
"7774",7773,"WK011858","Hoogeveen","Wijk","WK011858","1",630,135,20,5,0,0,"78","212","27.1","21.1","47","14","33.3","18.4","4.4","4.4","011858"
"7777",7776,"WK011859","Hoogeveen","Wijk","WK011859","1",600,105,15,0,0,0,"78","223","29.8","23.7","38.9","18.1","24.4","26.5","3","3","011859"
"7780",7779,"WK011860","Hoogeveen","Wijk","WK011860","1",1805,460,60,15,0,0,"86","218","29.8","24","39.6","17","32.2","22.6","4.9","4.1","011860"
"7785",7784,"WK011861","Hoogeveen","Wijk","WK011861","1",590,100,5,0,0,0,"295","228","27.4","21.2","46.4","13.6","31","25.9","4.7","3.8","011861"
"7787",7786,"WK011862","Hoogeveen","Wijk","WK011862","1",760,85,25,20,0,5,"52","266","31.5","24","41.3","20.2","26.7","32.3","5.8","5.1","011862"
"7795",7794,"WK001801","Hoogezand-Sappemeer","Wijk","WK001801","1",6735,1665,550,630,25,110,"2279","113","25.3","21","47.2","10.7","57.9","7.9","12.1","10.1","001801"
"7803",7802,"WK001802","Hoogezand-Sappemeer","Wijk","WK001802","1",11880,2725,975,2730,210,830,"3256","102","21.7","17","54.7","7","56.9","5.5","14.1","14","001802"
"7814",7813,"WK001803","Hoogezand-Sappemeer","Wijk","WK001803","1",3055,805,175,150,5,25,"336","203","33.1","26.2","35.9","22.6","24.2","23.9","3.2","3.7","001803"
"7821",7820,"WK001805","Hoogezand-Sappemeer","Wijk","WK001805","1",855,140,45,15,0,0,"60","183","29.8","25","36.4","18.9","22.4","23.5","2.5","1.7","001805"
"7824",7823,"WK001806","Hoogezand-Sappemeer","Wijk","WK001806","1",1640,390,110,45,0,5,"143","352","44.1","35.9","32.9","33.6","18.8","39.1","3.6","3.3","001806"
"7831",7830,"WK001807","Hoogezand-Sappemeer","Wijk","WK001807","1",990,135,85,65,0,10,"768","113","23.8","18.6","46","9.5","49.8","7.7","12.3","10","001807"
"7834",7833,"WK001808","Hoogezand-Sappemeer","Wijk","WK001808","1",855,145,90,15,0,0,"86","174","28.9","23.7","40.2","16.9","35.7","14.2","7.4","5.3","001808"
"7839",7838,"WK001809","Hoogezand-Sappemeer","Wijk","WK001809","1",25,5,0,0,0,0,"38",".",".",".",".",".",".",".",".",".","001809"
"7841",7840,"WK001811","Hoogezand-Sappemeer","Wijk","WK001811","1",8185,1450,490,415,20,80,"628","134","26.9","21.5","43.2","14.2","41.8","13","8.2","6.5","001811"
"7852",7851,"WK040510","Hoorn","Wijk","WK040510","1",5500,1435,525,280,15,20,"5761","220","37.3","32.7","34.1","23.6","43.6","19","7.1","6.5","040510"
"7857",7856,"WK040511","Hoorn","Wijk","WK040511","1",2575,570,180,145,35,25,"2977","219","32.5","26.9","41","18.2","40.4","19.8","9","7.2","040511"
"7862",7861,"WK040512","Hoorn","Wijk","WK040512","1",5450,1245,375,910,210,250,"3865","188","29.9","24.3","41.8","18","43.7","17.1","10.6","8.1","040512"
"7868",7867,"WK040513","Hoorn","Wijk","WK040513","1",8030,1335,860,2090,415,470,"4505","146","26.2","20.7","43.3","12.5","46.5","10.5","11.8","9.5","040513"
"7878",7877,"WK040520","Hoorn","Wijk","WK040520","1",8520,2500,730,970,205,90,"3854","170","29.2","24.2","40.6","16.8","40.2","15.6","5.6","5.6","040520"
"7888",7887,"WK040521","Hoorn","Wijk","WK040521","1",7920,1120,870,1115,95,80,"4403","151","28","22.5","39.6","13.8","41.2","12.7","9.5","7.4","040521"
"7895",7894,"WK040522","Hoorn","Wijk","WK040522","1",1205,235,95,45,0,0,"2146","249","39","32.6","30.3","29.2","10.2","40","0.8","0.6","040522"
"7898",7897,"WK040530","Hoorn","Wijk","WK040530","1",3125,760,190,155,45,15,"1442","195","29.3","24","39.6","16.5","34.9","17.9","3.5","3.7","040530"
"7905",7904,"WK040531","Hoorn","Wijk","WK040531","1",3810,1170,265,160,25,5,"2958","228","32.3","27","38.2","19.3","30.2","22.4","3.2","3.3","040531"
"7911",7910,"WK040532","Hoorn","Wijk","WK040532","1",3950,485,475,1045,155,65,"6484","136","24.8","19.6","46","10.7","52.9","8.1","15.6","12.8","040532"
"7916",7915,"WK040533","Hoorn","Wijk","WK040533","1",17000,1935,1465,2705,125,435,"5646","184","31.9","25.2","37.9","21.2","33.9","23.8","6.6","5.7","040533"
"7927",7926,"WK040534","Hoorn","Wijk","WK040534","1",10,5,0,0,0,0,"10",".",".",".",".",".",".",".",".",".","040534"
"7931",7930,"WK040535","Hoorn","Wijk","WK040535","1",5375,240,400,565,45,165,"3196","232","39.1","26.8","24.3","29.6","15.2","34.1","2.8","1.8","040535"
"7938",7937,"WK040536","Hoorn","Wijk","WK040536","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","040536"
"7941",7940,"WK150700","Horst aan de Maas","Wijk","WK150700","1",550,95,25,5,0,0,"61","246","31.7","24.6","37.1","17.1","27.1","21.6","1.8","1.8","150700"
"7944",7943,"WK150701","Horst aan de Maas","Wijk","WK150701","1",2070,340,165,25,0,5,"84","243","28.4","24","39.6","15.9","32.4","24.2","2.4","2.9","150701"
"7949",7948,"WK150702","Horst aan de Maas","Wijk","WK150702","1",1610,215,155,15,5,0,"138","274","28.9","24.6","42","16.4","32.1","29.3","4.1","2.9","150702"
"7952",7951,"WK150703","Horst aan de Maas","Wijk","WK150703","1",1940,320,105,55,10,0,"300","251","30.2","25.2","41.4","19.1","24.9","27.9","2.7","2.3","150703"
"7955",7954,"WK150704","Horst aan de Maas","Wijk","WK150704","1",12890,2665,1090,590,30,40,"699","221","29.3","24.9","41.5","16.2","36.5","19.6","4.6","4.4","150704"
"7968",7967,"WK150705","Horst aan de Maas","Wijk","WK150705","1",2120,305,140,15,0,0,"238","266","28","23.7","44.3","15.5","29.8","26","2.8","2.6","150705"
"7971",7970,"WK150706","Horst aan de Maas","Wijk","WK150706","1",1050,205,110,30,0,0,"192","235","29.1","24.5","40.1","17","31","20.3","4.1","4.8","150706"
"7974",7973,"WK150707","Horst aan de Maas","Wijk","WK150707","1",1945,425,120,30,0,0,"121","249","28.2","23.9","40.9","16.3","25.7","24.1","2.3","2.9","150707"
"7977",7976,"WK150708","Horst aan de Maas","Wijk","WK150708","1",4810,1145,610,140,0,10,"348","218","30.9","26.1","39.9","17.8","28.4","22.5","3.9","3.8","150708"
"7984",7983,"WK150709","Horst aan de Maas","Wijk","WK150709","1",780,175,60,10,0,0,"135","243","28.7","24.4","42.6","17.3","31.3","25.4","3.5","3.5","150709"
"7987",7986,"WK150710","Horst aan de Maas","Wijk","WK150710","1",6630,1465,470,120,5,5,"249","244","29.9","24.8","40.5","17.6","30.5","23.3","3.5","3.7","150710"
"7991",7990,"WK150711","Horst aan de Maas","Wijk","WK150711","1",1140,170,65,10,5,0,"145","246","30.3","25.6","38.8","18.9","21.2","30","1.4","2.1","150711"
"7994",7993,"WK150712","Horst aan de Maas","Wijk","WK150712","1",265,25,25,15,5,0,"19","326","32.5","28.6","43.5","19.2",".",".",".",".","150712"
"7997",7996,"WK150713","Horst aan de Maas","Wijk","WK150713","1",1895,390,160,30,5,0,"239","234","29.9","24.2","37","17.2","26.3","21.8","2.7","2.2","150713"
"8000",7999,"WK150714","Horst aan de Maas","Wijk","WK150714","1",1235,215,120,25,0,5,"385","217","28.6","22.5","37.3","15.1","28.8","17.8","2.7","3.1","150714"
"8003",8002,"WK150715","Horst aan de Maas","Wijk","WK150715","1",1250,210,80,20,5,0,"132","256","28.9","24","39.3","17.2","25.7","25.7","4.6","3.4","150715"
"8007",8006,"WK032110","Houten","Wijk","WK032110","1",13975,2360,1030,850,100,35,"5148","274","38.2","30.8","33.3","29.1","26.1","34.7","4.3","3.9","032110"
"8019",8018,"WK032111","Houten","Wijk","WK032111","1",10080,1555,785,1055,120,50,"5267","226","32.8","26.6","35.9","22.5","37.6","23.2","7","5.3","032111"
"8031",8030,"WK032112","Houten","Wijk","WK032112","1",11485,875,835,995,180,75,"5967","293","42.8","30","25.2","34.8","18.2","38.1","2.8","2.3","032112"
"8042",8041,"WK032113","Houten","Wijk","WK032113","1",10065,915,790,775,125,60,"5529","308","42.8","31.3","29.6","34.8","16.6","44.4","2.4","2.2","032113"
"8050",8049,"WK032120","Houten","Wijk","WK032120","1",445,95,15,5,0,0,"42","472","49.4","41.4","40.5","24.2","34.8","34.8","6.3","5.1","032120"
"8063",8062,"WK032130","Houten","Wijk","WK032130","1",370,80,15,10,0,0,"1012","308","36.7","31.2","33.5","24.9","29.4","31.3","1.3","1.3","032130"
"8066",8065,"WK032131","Houten","Wijk","WK032131","1",235,55,10,0,0,0,"39","421","42","31.8","36.5","27",".",".",".",".","032131"
"8068",8067,"WK032140","Houten","Wijk","WK032140","1",615,135,35,10,5,0,"484","347","35.8","29.8","34.4","24.1","19.4","33.5","2.5","2.5","032140"
"8071",8070,"WK032141","Houten","Wijk","WK032141","1",70,20,5,0,0,0,"17",".",".",".",".",".",".",".",".",".","032141"
"8073",8072,"WK032150","Houten","Wijk","WK032150","1",1490,265,55,40,10,5,"1169","291","33.1","26.7","37.1","23.2","28.7","29.7","5.1","4.6","032150"
"8076",8075,"WK032151","Houten","Wijk","WK032151","1",450,90,10,5,0,0,"20","425","40.4","32.1","33.5","31","14.7","50.3","1.2","1.9","032151"
"8080",8079,"WK040600","Huizen","Wijk","WK040600","1",6215,1265,555,535,215,105,"5872","272","34.8","27.6","38","23.4","35","25.2","6.3","5.9","040600"
"8083",8082,"WK040601","Huizen","Wijk","WK040601","1",2425,540,220,295,115,30,"3628","377","42.6","32.7","39.4","27","28.3","32.6","6.6","5.5","040601"
"8085",8084,"WK040602","Huizen","Wijk","WK040602","1",915,220,165,50,0,5,"264","1198","107.9","76.4","27.7","52.6","8.1","77.2","3.7","2.8","040602"
"8089",8088,"WK040603","Huizen","Wijk","WK040603","1",390,95,55,10,0,0,"115","851","93","69.9","32.4","51.4","5.6","73.4","0.7","0.7","040603"
"8096",8095,"WK040604","Huizen","Wijk","WK040604","1",2730,900,240,60,5,5,"2617","452","51.9","41","34.1","36.9","19.9","49.1","2.7","3.7","040604"
"8099",8098,"WK040605","Huizen","Wijk","WK040605","1",1295,260,115,205,95,15,"868","278","35.8","29","33.5","26.8","27.6","25.3","7","6.6","040605"
"8103",8102,"WK040606","Huizen","Wijk","WK040606","1",3945,1205,325,315,100,40,"6431","208","30.1","24.4","41.6","18.4","41.9","19","6.9","7.6","040606"
"8106",8105,"WK040607","Huizen","Wijk","WK040607","1",3795,840,425,580,275,70,"4820","200","28.8","22.9","40.6","17.2","34.5","18","5.7","5.7","040607"
"8108",8107,"WK040608","Huizen","Wijk","WK040608","1",5940,1580,645,635,175,75,"5696","215","30.9","25.3","37.5","18.8","36.3","18","5.7","6","040608"
"8111",8110,"WK040609","Huizen","Wijk","WK040609","1",2925,480,355,285,60,55,"6980","191","31.5","26.1","35","19.3","38.5","18.1","8.1","7.4","040609"
"8113",8112,"WK040610","Huizen","Wijk","WK040610","1",2065,410,170,215,55,30,"5605","200","30.5","25.4","38","19.2","39.2","18.5","8.5","7.5","040610"
"8116",8115,"WK040611","Huizen","Wijk","WK040611","1",6250,635,615,810,240,150,"6472","177","31.3","25.1","35","19.4","40.8","19.9","9.3","8.1","040611"
"8120",8119,"WK040612","Huizen","Wijk","WK040612","1",2470,450,215,225,40,65,"5667","324","40.9","33.1","33.1","33.2","20.3","40.9","3.1","3.2","040612"
"8124",8123,"WK067701","Hulst","Wijk","WK067701","1",10845,2890,2445,325,30,20,"413","192","32.6","27","40.3","19.5","39.2","19.4","5.4","5.6","067701"
"8136",8135,"WK067702","Hulst","Wijk","WK067702","1",3165,670,830,125,10,15,"384","187","31","25.6","40.3","18.5","34.4","20.2","5.9","6","067702"
"8139",8138,"WK067703","Hulst","Wijk","WK067703","1",2320,505,875,65,10,5,"220","178","29.1","24","41.1","17.3","37","18","4.7","4.7","067703"
"8142",8141,"WK067704","Hulst","Wijk","WK067704","1",965,220,280,5,0,0,"42","167","31.4","25.6","37.4","20.7","34.6","20.3","4","3.5","067704"
"8147",8146,"WK067705","Hulst","Wijk","WK067705","1",1125,210,325,15,0,0,"172","246","33.5","27.3","38.3","23.7","27.9","26.2","5.3","4.6","067705"
"8150",8149,"WK067706","Hulst","Wijk","WK067706","1",1015,200,635,35,0,0,"20","182","34.9","26.1","33.6","22.1","34.8","19.7","4.4","4.4","067706"
"8153",8152,"WK067707","Hulst","Wijk","WK067707","1",330,75,125,0,0,0,"520","242","32.5","25.4","41.1","22.5","35","25.2","5.2","6","067707"
"8155",8154,"WK067708","Hulst","Wijk","WK067708","1",3305,880,380,80,0,5,"243","168","29.4","24.5","41.3","17.9","36.8","18.8","4","3.7","067708"
"8159",8158,"WK067709","Hulst","Wijk","WK067709","1",880,155,155,25,0,0,"59","184","31.9","25.9","37","20.8","34.3","19.1","4.8","4.5","067709"
"8164",8163,"WK067710","Hulst","Wijk","WK067710","1",475,100,95,0,0,0,"87","174","30.4","25.3","41.7","18.7","41.3","23.3","5.3","3.8","067710"
"8167",8166,"WK067711","Hulst","Wijk","WK067711","1",2090,450,270,70,0,0,"97","183","30.4","24.5","42.7","19.1","33.3","21.8","4.8","4.4","067711"
"8170",8169,"WK067712","Hulst","Wijk","WK067712","1",540,100,115,0,0,0,"57","168","33.1","27.3","38.5","19.1","32.8","19.9","3.4","3.9","067712"
"8173",8172,"WK067713","Hulst","Wijk","WK067713","1",310,55,45,0,0,0,"28","200","33.6","27.2","32.4","22.7","31.3","24.6","3.9","3.1","067713"
"8177",8176,"WK035300","IJsselstein","Wijk","WK035300","1",34205,5465,2460,4285,1415,380,"1621","235","35.2","27.6","34.4","24.3","30","28.1","4.8","4.2","035300"
"8209",8208,"WK188400","Kaag en Braassem","Wijk","WK188400","1",11870,2310,590,555,85,20,"1818","249","32.8","26.8","37.1","21.3","30.7","27.5","3.9","3.4","188400"
"8215",8214,"WK188401","Kaag en Braassem","Wijk","WK188401","1",3540,600,240,130,20,5,"173","297","35","28.5","36.6","23.6","28","30.9","4.3","4","188401"
"8222",8221,"WK188402","Kaag en Braassem","Wijk","WK188402","1",5425,1105,330,175,20,15,"287","278","35.8","28.3","35","25.1","26.4","30.5","4.1","3.5","188402"
"8230",8229,"WK188403","Kaag en Braassem","Wijk","WK188403","1",1185,285,90,50,0,0,"218","298","36.7","29.6","36.2","27.7","28.5","34.5","5.7","5.7","188403"
"8233",8232,"WK188404","Kaag en Braassem","Wijk","WK188404","1",4360,900,370,175,15,5,"364","253","34.2","28.1","36.2","22.2","30.4","27.5","4.8","3.6","188404"
"8242",8241,"WK016600","Kampen","Wijk","WK016600","1",36050,6095,1710,2480,35,950,"539","180","28","21.9","42.3","15.3","40.6","15","7","5.8","016600"
"8262",8261,"WK016603","Kampen","Wijk","WK016603","1",12150,1940,305,200,0,5,"744","225","28.2","21.6","44.7","17.5","28.5","23.8","3.7","3.4","016603"
"8271",8270,"WK016604","Kampen","Wijk","WK016604","1",760,120,15,5,0,0,"61","287","29.4","21.9","41.7","18.4","21.2","31.7","4.2","4.2","016604"
"8274",8273,"WK016605","Kampen","Wijk","WK016605","1",850,150,10,15,0,0,"149","231","29.1","21.8","40.5","16.9","28.2","22.7","2.2","1.9","016605"
"8277",8276,"WK016606","Kampen","Wijk","WK016606","1",1010,85,15,0,0,0,"715","234","26.3","19.6","47.8","15.5","22.1","31","1.7","1.3","016606"
"8279",8278,"WK016607","Kampen","Wijk","WK016607","1",855,105,15,10,0,0,"40","321","30.5","21.9","42.4","21.9","19.7","34.4","3.3","4.4","016607"
"8281",8280,"WK016608","Kampen","Wijk","WK016608","1",660,80,10,5,0,0,"177","277","30.2","23","40.1","19.4","19.1","36.4","3.1","2.2","016608"
"8283",8282,"WK016609","Kampen","Wijk","WK016609","1",170,10,0,0,0,0,"12",".","31.9","23","35.8","26",".",".",".",".","016609"
"8286",8285,"WK067800","Kapelle","Wijk","WK067800","1",9105,1705,445,265,5,5,"351","229","31.8","24.9","39.8","22","26.3","26.3","3.7","3.3","067800"
"8289",8288,"WK067801","Kapelle","Wijk","WK067801","1",3025,645,240,105,10,0,"368","221","32.4","26","37.2","21.5","30.2","23.2","4.9","4.7","067801"
"8292",8291,"WK067802","Kapelle","Wijk","WK067802","1",485,65,35,30,0,0,"167","197","34","25.5","30.5","23.7","25.5","21.6","3.4","2.9","067802"
"8296",8295,"WK053701","Katwijk","Wijk","WK053701","1",13275,2100,720,955,145,140,"7013","215","29.4","22.7","39.8","17.6","35.6","18.9","7.2","6.2","053701"
"8301",8300,"WK053702","Katwijk","Wijk","WK053702","1",25,5,0,0,0,0,"27",".",".",".",".",".",".",".",".",".","053702"
"8304",8303,"WK053703","Katwijk","Wijk","WK053703","1",5760,1125,365,340,55,25,"4909","252","31.6","25.7","40.4","19.9","34.3","23.6","5.9","5.7","053703"
"8308",8307,"WK053704","Katwijk","Wijk","WK053704","1",6290,1405,355,540,115,75,"6646","221","27.5","21.8","45.4","13.7","44.7","13.2","7.7","6.8","053704"
"8313",8312,"WK053705","Katwijk","Wijk","WK053705","1",14040,2750,595,265,35,15,"7831","256","30.7","23.8","40.3","19.9","29.9","23.5","2.7","2.3","053705"
"8321",8320,"WK053706","Katwijk","Wijk","WK053706","1",3700,190,280,405,10,20,"526","292","34.3","25.3","37.1","25.3","17.2","39","1.8","2","053706"
"8326",8325,"WK053707","Katwijk","Wijk","WK053707","1",15840,2660,980,635,55,25,"2722","263","33","26","39.1","22.3","28","27.2","3.8","4.2","053707"
"8331",8330,"WK053708","Katwijk","Wijk","WK053708","1",5585,685,340,290,40,30,"1122","276","35","26","33.9","25.4","21.7","31.3","3","3","053708"
"8336",8335,"WK092800","Kerkrade","Wijk","WK092800","1",14435,3315,3380,755,155,110,"1479","132","26","21.7","43.2","11.8","47.7","10.3","9.9","8.2","092800"
"8343",8342,"WK092801","Kerkrade","Wijk","WK092801","1",18350,4740,5175,1295,170,125,"3278","120","25.5","21.2","45.2","10.6","56.4","8.6","13.1","11.4","092801"
"8350",8349,"WK092802","Kerkrade","Wijk","WK092802","1",13150,2990,3235,600,135,60,"2008","140","27.6","23.1","41.2","12.8","44.3","11.9","9.5","8.8","092802"
"8358",8357,"WK159800","Koggenland","Wijk","WK159800","1",5780,1050,315,185,5,20,"312","230","31.3","24.8","38.2","19.4","29.1","26.3","4.6","4.5","159800"
"8362",8361,"WK159801","Koggenland","Wijk","WK159801","1",1600,275,95,55,0,5,"169","251","30.6","25.7","40.2","19.6","31.2","29.7","6.1","6.6","159801"
"8364",8363,"WK159802","Koggenland","Wijk","WK159802","1",545,110,15,10,0,0,"70","290","31.8","27.1","36","22.7","20","34","3.7","4.2","159802"
"8366",8365,"WK159803","Koggenland","Wijk","WK159803","1",2860,590,125,70,5,0,"251","233","31.9","26.4","39.6","20.4","26.3","29.3","2.3","2.2","159803"
"8371",8370,"WK159804","Koggenland","Wijk","WK159804","1",3780,780,210,120,15,5,"536","226","30.8","25.7","40.3","18.8","29.4","24.5","3.6","3.6","159804"
"8375",8374,"WK159805","Koggenland","Wijk","WK159805","1",440,95,30,15,0,0,"75","281","35.1","30.5","39.4","25","24.9","35.4","3.3","3.3","159805"
"8377",8376,"WK159806","Koggenland","Wijk","WK159806","1",5895,1080,245,225,10,5,"554","225","30.5","24.8","39","19.2","26.8","26.6","4.1","3.7","159806"
"8381",8380,"WK159807","Koggenland","Wijk","WK159807","1",1635,300,90,45,0,5,"168","258","30.9","25.1","36.7","18.4","28.5","26.9","4","3.6","159807"
"8385",8384,"WK007900","Kollumerland en Nieuwkruisland","Wijk","WK007900","1",5535,1305,110,160,5,0,"383","167","25.8","20.6","45.8","12.9","42.6","13.7","7.7","7.3","007900"
"8388",8387,"WK007901","Kollumerland en Nieuwkruisland","Wijk","WK007901","1",1840,310,60,25,0,0,"30","152","27.4","20.9","39.6","14","37.6","15.5","5.6","4.9","007901"
"8398",8397,"WK007902","Kollumerland en Nieuwkruisland","Wijk","WK007902","1",1760,235,35,30,0,0,"86","194","27.7","21.2","40.7","14.6","29.2","21.3","3.3","3.3","007902"
"8404",8403,"WK007903","Kollumerland en Nieuwkruisland","Wijk","WK007903","1",3735,565,85,65,0,0,"267","170","25.3","19.2","46.3","11","37.5","14.7","9.1","8.2","007903"
"8410",8409,"WK058800","Korendijk","Wijk","WK058800","1",3765,725,120,65,0,0,"341","231","34","25.7","39","25.5","23","29.9","2.7","2.7","058800"
"8414",8413,"WK058801","Korendijk","Wijk","WK058801","1",1725,370,100,35,5,0,"156","217","35","27.3","36","23.5","24.7","26.9","3.2","2.6","058801"
"8418",8417,"WK058802","Korendijk","Wijk","WK058802","1",1985,345,70,55,0,0,"83","222","31.9","25.4","40.9","21","29.7","26","6.1","5","058802"
"8424",8423,"WK058803","Korendijk","Wijk","WK058803","1",3480,790,160,70,10,0,"116","224","35.2","28.8","34","24","27.7","25.2","2.9","3.1","058803"
"8433",8432,"WK054200","Krimpen aan den IJssel","Wijk","WK054200","1",29120,6785,2110,2200,225,165,"3792","218","32.9","25.8","39.5","22.1","33.8","22.8","5.3","5.3","054200"
"8441",8440,"WK193100","Krimpenerwaard","Wijk","WK193100","1",7680,1665,470,240,30,5,"351","226","32.5","26.3","38.8","21.7","32.9","24.4","5","4.6","193100"
"8454",8453,"WK193101","Krimpenerwaard","Wijk","WK193101","1",6580,1365,400,330,45,30,"1122","204","32.6","26.4","37.5","20.5","34.3","21","5","5.1","193101"
"8465",8464,"WK193102","Krimpenerwaard","Wijk","WK193102","1",5690,1115,215,150,10,5,"331","235","33.8","25.7","38","23.1","26.9","27.3","2.8","2.9","193102"
"8469",8468,"WK193103","Krimpenerwaard","Wijk","WK193103","1",2650,465,115,145,40,0,"270","214","30.8","23.9","41.5","19.9","32.2","23.5","5.1","4.4","193103"
"8471",8470,"WK193104","Krimpenerwaard","Wijk","WK193104","1",5185,1075,260,280,120,5,"322","255","32.4","25.3","40.6","20.8","33.7","24.3","5.2","4.6","193104"
"8478",8477,"WK193105","Krimpenerwaard","Wijk","WK193105","1",1725,360,100,50,0,0,"226","320","37.8","30.3","36.1","27.3","27","30.6","2.3","2.3","193105"
"8484",8483,"WK193106","Krimpenerwaard","Wijk","WK193106","1",1655,295,120,40,5,0,"2800","217","32.5","26","35.5","21.4","34.8","21.1","4.7","4.1","193106"
"8486",8485,"WK193107","Krimpenerwaard","Wijk","WK193107","1",1715,300,60,30,0,5,"160","323","39.4","28.3","37.9","29.4","20.3","38.6","2.4","3.1","193107"
"8489",8488,"WK193108","Krimpenerwaard","Wijk","WK193108","1",4130,960,200,130,20,0,"229","267","32.8","26.9","38.1","21.6","30.7","28.5","3.8","3.2","193108"
"8501",8500,"WK193110","Krimpenerwaard","Wijk","WK193110","1",5195,985,175,195,10,0,"199","274","33.6","26.3","39.4","22.5","30.3","29.3","4.5","4","193110"
"8511",8510,"WK193111","Krimpenerwaard","Wijk","WK193111","1",635,130,25,10,5,0,"66","331","32.9","25.7","39","22","30.4","35","5.1","3.8","193111"
"8514",8513,"WK193112","Krimpenerwaard","Wijk","WK193112","1",12390,2455,775,1340,845,15,"1973","212","31.6","25","39.9","20.6","37.1","21.1","6.3","5.9","193112"
"8522",8521,"WK165900","Laarbeek","Wijk","WK165900","1",10175,2030,695,300,10,25,"615","217","29.9","24","40.4","17.4","34.5","19.9","5.5","5","165900"
"8528",8527,"WK165901","Laarbeek","Wijk","WK165901","1",5640,1285,315,120,5,5,"427","256","30.8","25.4","41.4","19.3","30.2","25.1","4","4.1","165901"
"8534",8533,"WK165902","Laarbeek","Wijk","WK165902","1",4205,955,200,85,10,5,"363","280","33.5","27.2","39.1","20.3","26.8","27.3","4","3.8","165902"
"8538",8537,"WK165903","Laarbeek","Wijk","WK165903","1",1930,360,65,5,0,0,"137","299","29.7","23.5","39.5","17","22.1","28.6","1.7","2.6","165903"
"8542",8541,"WK168500","Landerd","Wijk","WK168500","1",6990,1510,295,150,5,10,"231","277","31.3","25.7","41.4","19.9","28.3","28.9","3.7","3.3","168500"
"8547",8546,"WK168501","Landerd","Wijk","WK168501","1",1745,305,110,50,0,5,"168","271","31.2","25.2","40.5","19.6","30.6","28.8","8.1","6.3","168501"
"8550",8549,"WK168502","Landerd","Wijk","WK168502","1",6440,1270,280,215,15,5,"252","277","29.5","24","41.5","17.1","30","27.3","5","4.5","168502"
"8557",8556,"WK168509","Landerd","Wijk","WK168509","1",165,20,10,0,0,0,"39",".","30.4","23.7","42.5","22.8",".",".",".",".","168509"
"8560",8559,"WK088200","Landgraaf","Wijk","WK088200","1",15950,3630,2960,760,70,95,"1842","154","28.7","23.9","39.3","15","41.1","13.9","8.1","7.1","088200"
"8574",8573,"WK088201","Landgraaf","Wijk","WK088201","1",9280,2400,1820,400,55,30,"1773","154","28.2","24","41.2","14.2","44.7","13.5","8.8","8","088201"
"8581",8580,"WK088202","Landgraaf","Wijk","WK088202","1",12220,2740,2415,335,35,30,"1143","155","27.8","23","40.3","14.9","39.8","14.9","6.9","6.3","088202"
"8591",8590,"WK041500","Landsmeer","Wijk","WK041500","1",9910,2020,900,800,95,50,"1039","297","37.7","30","34","27.2","28.1","31.8","4.8","4.3","041500"
"8597",8596,"WK041501","Landsmeer","Wijk","WK041501","1",1360,260,90,60,5,0,"105","454","43.9","36","34.8","30.4","24.2","40.9","3.1","2.7","041501"
"8601",8600,"WK041600","Langedijk","Wijk","WK041600","1",27605,5210,1640,1335,270,65,"1155","244","32.5","26","38.4","20.4","28.1","25.9","4.4","3.9","041600"
"8610",8609,"WK162111","Lansingerland","Wijk","WK162111","1",3390,790,260,295,75,15,"4438","233","34.5","27.1","38.9","22.6","30.1","25.8","4.5","4.3","162111"
"8613",8612,"WK162112","Lansingerland","Wijk","WK162112","1",8190,670,610,800,120,85,"6185","304","44.7","32.9","31.8","34.8","17.6","47.2","4.1","3.4","162112"
"8617",8616,"WK162113","Lansingerland","Wijk","WK162113","1",5325,610,365,745,160,130,"5954","261","39.4","29.2","31.9","30.9","21.2","37.5","4","3.7","162113"
"8621",8620,"WK162114","Lansingerland","Wijk","WK162114","1",60,10,5,0,0,0,"37",".",".",".",".",".",".",".",".",".","162114"
"8623",8622,"WK162115","Lansingerland","Wijk","WK162115","1",1150,230,80,45,0,5,"119","396","47.5","38","33.8","30.7","17","41.3","3.5","3.5","162115"
"8629",8628,"WK162121","Lansingerland","Wijk","WK162121","1",4410,1085,295,525,110,40,"4134","223","32.8","25.4","40.7","22.2","36.9","20.7","6.8","6.9","162121"
"8634",8633,"WK162122","Lansingerland","Wijk","WK162122","1",4755,1085,315,375,85,10,"4508","221","34.8","27.9","34.3","25.4","26.3","26.7","4.8","4.6","162122"
"8640",8639,"WK162123","Lansingerland","Wijk","WK162123","1",6630,705,510,965,135,110,"5387","267","41.2","28.6","26","35.7","19.3","37.6","3.5","3.2","162123"
"8644",8643,"WK162124","Lansingerland","Wijk","WK162124","1",1640,230,120,50,5,5,"191","358","41.4","33.3","36.3","28","22.1","43.3","4.5","4","162124"
